Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_Common_Unspecified,1,RaspberryPi_Pico,
D1,LED_LTST-C150GKT_LTO,1,LED_BOARD_POWER,
D2,LED_LTST-C150GKT_LTO,1,LED_CONN_4_BRAVO,
D3,LED_LTST-C150GKT_LTO,1,LED_CONN_3_BRAVO,
D4,LED_LTST-C150GKT_LTO,1,LED_CONN_2_BRAVO,
D5,LED_LTST-C150GKT_LTO,1,LED_CONN_1_BRAVO,
IC1,USRES1,1,USR-ES1,
J1,OST_USB-A1HSW6,1,USB_A_HDMI_KVM_SERIAL,
J2,MTJ88ARX1FSMLH,1,RJ45_CONN1,
J3,MTJ88ARX1FSMLH,1,RJ45_CONN2,
J4,MTJ88ARX1FSMLH,1,RJ45_CONN3,
J5,MTJ88ARX1FSMLH,1,RJ45_CONN4,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,R-10K PU,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,R330,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,R330_CONN4,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,R330_CONN3,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,R330_CONN2,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,R330_CONN1,
U2,DIP-28_W7.62mm,1,MCP23017x-x-SP,
