Designator,Mid X,Mid Y,Rotation,Layer
A1,129.5,-74.885,0.0,top
D1,160.5,-89.0,0.0,top
D2,163.5,-113.5,0.0,top
D3,141.5,-113.549,0.0,top
D4,119.5,-113.5,0.0,top
D5,98.0,-113.5,0.0,top
IC1,159.5,-62.85,0.0,top
J1,99.1625,-60.387,180.0,top
J2,97.822,-133.3873,0.0,top
J3,119.6298,-133.3724,0.0,top
J4,141.55,-133.38,0.0,top
J5,163.35,-133.38,0.0,top
R1,153.19,-81.0,0.0,top
R2,168.0,-81.0,0.0,top
R3,163.5,-122.0,0.0,top
R4,141.5,-122.0,0.0,top
R5,119.5,-122.0,0.0,top
R6,98.0,-122.0,0.0,top
U2,101.31,-88.35,180.0,top
